,A,B,C,D,E
169,-0.34423187,-0.15723132,-0.085675366,-1.0144978,0.17033589
170,-0.47783363,-0.2908012,-0.15858302,-0.71940213,-0.21952005
171,-0.5407249,-0.37983444,-0.25870496,-0.6018262,-0.19306652
172,-0.23091815,-0.1135495,0.12727344,0.58636135,0.3678225
173,-0.26135293,-0.053593267,-0.07899365,-1.1633602,0.5344148
174,-0.4181788,-0.23545195,-0.14918765,-0.9033936,0.45862687
175,-0.26408437,-0.3389231,-0.40157518,0.1726555,-0.8242535
176,0.0513279,-0.04553258,-0.011536948,0.0145419035,-1.1034487
177,-0.32353592,-0.3243567,-0.3306993,-0.026145592,-0.7622712
178,0.41335568,0.4237048,0.38218248,-0.32652497,-1.1076214
179,0.3901766,-0.38216826,-0.5453178,1.4907781,-0.48512453
180,-0.4719967,-0.42607147,-0.40861478,-0.116370074,-0.40573305
181,0.06046237,-0.31925073,-0.18335535,1.137752,-0.1533563
182,-0.084729366,0.12034398,0.1901899,-1.0859163,-0.23992026
183,-0.18641262,-0.34469464,-0.13942495,0.6696973,0.14704563
184,-0.15076591,0.44101802,0.41717377,0.4708795,0.7594354
185,-0.16531408,0.47591215,0.22235385,0.118391715,1.0356907
186,0.17100546,0.4014743,0.30844492,-1.1862216,-0.33559108
187,-0.3752571,-0.18366367,-0.04501415,-0.8327982,-0.28915548
188,0.5132528,0.6810934,0.4807828,2.06405,0.56699246
189,-0.15828243,0.058732387,0.27616885,0.7790399,0.3808453
190,-0.37253335,-0.13949706,-0.16360205,-0.2591377,0.77197134
191,0.4248228,-0.3839176,-0.5705241,1.5280914,-0.50449336
192,-0.15153757,-0.12546541,0.13823788,0.7422151,0.25813386
193,-0.16868988,0.40279603,0.49178714,0.72307825,0.64467716
194,-0.080264024,0.8764945,0.6794583,0.91135347,0.9780517
195,-0.5536779,-0.40891796,-0.31817192,-0.44244212,-0.30381367
196,0.21604337,-0.40712625,-0.6045531,1.1755921,-0.6487365
197,0.17277434,-0.23552635,-0.071489066,1.3233366,-0.030093774
198,-0.398663,-0.3857779,-0.18045062,0.17477138,0.33798075
199,-0.029503122,0.1748688,0.20958978,-1.1181408,-0.22580078
200,-0.36132935,-0.36411482,-0.14800835,0.26760834,0.33782858
201,-0.47576836,-0.43704182,-0.2860623,-0.031276055,0.27501342
202,0.17563583,0.0001969263,0.13136978,1.3981142,0.16246542
203,-0.46556577,-0.46171454,-0.43182245,-0.00860364,-0.19571897
204,-0.13116555,0.5379684,-0.27633637,-0.79454845,1.7260948
205,0.16994849,-0.40337622,-0.6230358,1.0766077,-0.7126659
206,-0.28796136,-0.10759418,-0.06446528,-1.1415259,0.41764987
207,0.7586131,0.6756245,0.32829595,-0.113951355,-1.3789893
208,-0.07798103,0.6744379,0.6636288,1.1242062,0.7700125
209,-0.05662915,-0.11825921,-0.07450603,-0.013219541,-1.0509055
210,-0.22915864,0.29753238,0.12019271,0.032656014,0.97278154
211,-0.15237837,-0.09409703,0.01368304,-0.37830132,-0.8718793
212,-0.52752906,-0.48098257,-0.38995317,-0.16935568,0.075602025
213,-0.3090306,-0.3126665,-0.08559776,0.38041082,0.35600132
214,-0.52400035,-0.3669061,-0.2631729,-0.73705834,0.095831625
215,-0.26450232,-0.05692752,-0.078041404,-1.1575321,0.5349957
216,-0.39031616,-0.19568217,-0.059413586,-0.8258486,-0.2617264
217,-0.34879747,-0.45219353,-0.45337772,0.24145788,-0.31386945
218,-0.18307942,0.34266752,-0.20334494,-0.74328923,1.464004
219,-0.20729476,0.29122755,0.291878,0.38367516,0.74240005
220,-0.2800077,-0.0759538,0.060319453,-0.89388967,-0.34508532
221,-0.15558872,0.27864757,0.43691757,0.8430126,0.5196969
222,-0.10891014,0.6784382,-0.27084315,-0.73759836,1.8585355
223,0.37731427,-0.3321973,-0.38246217,1.520596,-0.30097476
224,-0.20646349,0.34072655,-0.14114724,-0.56223714,1.382357
225,0.6839031,0.64344627,0.38165316,-0.19644275,-1.2569957
226,-0.21245891,-0.07551913,0.16931714,0.62872785,0.3583062
227,0.08017674,-0.2149827,-0.0074027814,1.1924031,0.021393508
228,-0.4697731,-0.29965064,-0.19704548,-0.74649525,0.4740078
229,0.06254712,-0.30301243,-0.14107127,1.1420555,-0.10926281
230,-0.23472305,-0.122964785,0.11762853,0.5762552,0.3683604
231,0.34494662,-0.40884468,-0.62642276,1.370161,-0.6122029
232,-0.1306444,0.6044394,0.60130304,0.8254438,0.7607749
233,-0.1833432,0.31460625,0.36626214,0.49683487,0.67312133
234,-0.29739347,0.0659931,-0.13098213,-0.4124353,1.0215217
235,-0.23673695,0.24534664,-0.087218925,-0.42319486,1.207125
236,0.6823881,0.61541474,0.35444233,-0.1538769,-1.2900761
237,-0.015925894,-0.05444255,0.16091636,1.0673167,0.1815923
238,-0.16260087,0.49065667,-0.14833981,-0.55109674,1.5306276
239,-0.14419588,0.07282221,-0.047913685,-1.2931236,0.44769815
240,-0.18267544,-0.41420978,-0.53721106,0.514947,-0.6400786
241,-0.18071173,0.23157194,0.4005095,0.7513033,0.5167818
242,-0.061988212,-0.29998672,-0.0655881,0.9034137,0.02511786
243,0.24546735,0.4845307,0.3577221,-1.1884629,-0.4254284
244,-0.2905488,-0.10157958,0.0345833,-0.8121365,-0.45695823
245,-0.2366764,-0.030707318,-0.08154574,-1.2023065,0.51501065
246,0.30915207,-0.40456548,-0.6691795,1.2714734,-0.7047714
247,0.0090403445,0.05586836,0.17119476,-0.4052624,-0.95476055
248,-0.22569203,0.15417822,0.25698978,0.47632217,0.60563225
249,0.6084202,0.59530354,0.38864002,-0.25780636,-1.2112366
250,-0.16957735,-0.0738723,0.1802156,0.71510535,0.30589256
251,-0.54650927,-0.39045167,-0.2662712,-0.5563828,-0.2451818
252,0.34638783,-0.2575845,-0.18594453,1.5208416,-0.10535894
253,-0.2277328,0.24141158,-0.13555704,-0.64277565,1.2670386
254,-0.31385666,0.02769397,-0.14153,-0.44279888,0.9819894
255,-0.3266167,-0.1302572,-0.0903048,-1.0654896,0.49062464
256,-0.33435652,-0.41788918,-0.477327,0.21760571,-0.5639014
257,-0.15746164,0.4794687,0.016955193,-0.26208237,1.2929822
258,-0.2562842,0.1805592,-0.12704907,-0.7255027,1.1761507
259,0.050174303,-0.029688228,0.028229803,-0.03545934,-1.082329
260,-0.32806602,-0.24816737,-0.16429871,-0.3612728,-0.7254431
261,-0.4333358,-0.4468584,-0.4537256,0.023333194,-0.3574627
262,-0.26831603,-0.23305058,-0.17496169,-0.21769087,-0.8367372
263,-0.28255218,-0.3185362,-0.3454778,0.057164773,-0.81209826
264,-0.3848516,-0.42025787,-0.45332715,0.10021938,-0.512126
265,-0.08654253,0.36834303,0.48338866,1.0098729,0.52752924
266,-0.21315524,-0.29696643,-0.3613141,0.17948368,-0.90358853
267,-0.34125724,-0.04318143,-0.1564528,-0.44782677,0.9025525
268,-0.48371223,-0.31884995,-0.2088731,-0.7426825,0.41195357
269,-0.18800879,-0.11443627,0.14317259,0.6712161,0.30527604
270,-0.07113986,0.96756977,0.7978889,1.3979597,1.0334512
271,-0.13262004,0.063580185,0.17446414,-1.0170164,-0.32524005
272,-0.060082108,-0.19053085,-0.295494,0.22390097,-1.0871335
273,-0.27233288,0.03833923,0.11460313,0.32738778,0.63896096
274,0.35414246,-0.36544707,-0.4701729,1.4722481,-0.40457028
275,-0.5747216,-0.43203494,-0.3208829,-0.5193682,-0.15435034
276,0.20014532,0.244627,0.30042315,1.4855093,0.3378408
277,-0.2571939,0.16862623,-0.09928859,-0.35339594,1.1192014
278,0.03292889,-0.25954738,-0.039534226,1.1006433,-0.0045615593
279,-0.07545178,-0.40664247,-0.5709277,0.7156635,-0.6711649
280,0.37936932,-0.40881774,-0.64723283,1.4100658,-0.62618077
281,0.46528086,0.4885175,0.37277243,1.9388036,0.4328522
282,-0.40168858,-0.21095103,-0.07236391,-0.8025327,-0.2791154
283,0.27505,0.5086244,0.42245957,-1.1083475,-0.62854743
284,-0.58391184,-0.4580484,-0.35558638,-0.4938222,-0.071185656
285,0.21667826,0.45125026,0.34668028,-1.1745781,-0.41917914
286,0.19204979,-0.40640733,-0.609281,1.1313491,-0.6706588
287,-0.15285106,0.5038061,0.18260199,0.023973422,1.113697
288,-0.19734211,-0.045818165,0.20151305,0.66217285,0.35128376
289,0.32254437,-0.23960426,-0.15149231,1.5027195,-0.08304989
290,-0.15703516,0.024931703,0.25110725,0.7733144,0.3578091
291,-0.5344066,-0.37369275,-0.24780864,-0.5738216,-0.27241766
292,-0.1793805,0.025014317,0.12477052,-1.0658906,-0.17171714
293,-0.40131176,-0.3626956,-0.15942903,0.17318322,0.39440155
294,-0.54639995,-0.42130512,-0.34633312,-0.37193185,-0.30979455
295,-0.22510037,-0.23735632,0.022015989,0.5708805,0.28557944
296,-0.19443968,-0.15096834,0.10854025,0.65495163,0.2954116
297,0.52696496,0.6502684,0.4595148,2.0697317,0.53704464
298,-0.19742987,-0.26518527,-0.30952522,0.12952626,-0.94243914
299,0.0475192,0.26430959,0.2228103,-1.1842688,-0.1745649
300,0.005449064,0.062197056,0.18014657,-0.43355992,-0.9470946
301,0.21901985,-0.40657082,-0.6190622,1.1684389,-0.67047226
302,-0.19865742,0.16412525,-0.17988327,-1.0969024,1.0117385
303,-0.44605115,-0.46059513,-0.42589834,0.04545328,-0.1713854
304,0.36785755,-0.33733317,-0.39250392,1.5070293,-0.31429997
305,0.2927635,0.5413419,0.36153764,-1.2174568,-0.39622825
306,-0.45754912,-0.46046254,-0.43851998,0.0024925712,-0.22786915
307,0.26796052,-0.3985112,-0.54621214,1.3028295,-0.53743565
308,0.17996934,0.40874696,0.3322717,-1.1622505,-0.40659663
309,-0.24762595,0.19723746,-0.10220611,-0.4246755,1.1680421
310,-0.15912895,0.10175352,0.3078932,0.78812754,0.40963513
311,-0.15230179,0.04143525,0.0587267,-1.1811304,0.14913583
312,0.2854292,-0.4084809,-0.60585743,1.2891433,-0.6119042
313,0.13174438,-0.40493098,-0.59188086,1.039316,-0.68491566
314,-0.18134356,0.3537439,-0.20668837,-0.7421746,1.4793445
315,0.1659117,0.39408207,0.31756756,-1.1716951,-0.3694762
316,0.3723426,0.6233854,0.4668585,-1.1420252,-0.6808541
317,-0.1376095,0.49754944,0.5718537,0.91599166,0.6540983
318,-0.17481615,0.36504698,0.4667371,0.6955774,0.625726
319,0.22953656,0.4656871,0.35419512,-1.1792567,-0.42924035
320,0.12736133,0.14092948,0.25346553,-0.34878466,-1.0373688
321,0.5326568,0.5313139,0.3901179,-0.2948443,-1.167207
322,0.49089357,0.7263008,0.51655734,-0.8914939,-1.0909555
323,-0.14197934,0.4590009,0.5508807,0.9021277,0.62986374
324,0.29504946,-0.40598986,-0.58432484,1.319366,-0.5764224
325,-0.26371554,0.16554539,-0.11473104,-0.6699379,1.142326
326,-0.40344906,-0.43724334,-0.4594272,0.0814624,-0.42491686
327,-0.2743797,-0.22332819,-0.14846997,-0.29234266,-0.80456465
328,-0.013560407,0.2074054,0.10492492,-1.2701031,0.14791472
329,-0.26320693,0.16241717,0.040908173,-0.0071460065,0.9034124
330,0.18518572,-0.4043527,-0.6285355,1.099933,-0.71007586
331,-0.075789735,0.17429437,0.34254026,1.0004777,0.3772584
332,-0.014781021,0.20836706,0.09389126,-1.2777429,0.17117676
333,-0.49824226,-0.43901464,-0.40764204,-0.16428122,-0.32399312
334,-0.25903958,-0.21761315,0.028339237,0.4995371,0.35057813
335,0.41795596,-0.10522941,-0.056958966,1.673196,-0.0044888714
336,0.3266661,0.54573447,0.45865178,1.7477263,0.5268295
337,0.21092953,-0.40706646,-0.6037018,1.1678644,-0.6502335
338,-0.13380754,0.4852478,0.48211384,0.587379,0.73275733
339,-0.32431978,-0.26565558,-0.060195338,0.30288473,0.44259515
340,-0.37237117,-0.2245075,-0.0939042,-0.6370503,-0.52267545
341,-0.15565996,0.16605256,-0.17156896,-1.2285682,0.84990513
342,-0.26481387,-0.28402206,-0.28972545,-0.0057063345,-0.8500298
343,-0.4422641,-0.4098503,-0.22125335,0.06544967,0.34707302
344,-0.48563775,-0.30846548,-0.17097321,-0.65977025,-0.3381232
345,-0.2379773,-0.41314802,-0.3462617,0.51981425,-0.123547
346,-0.10827726,0.79963905,0.72763634,1.1320548,0.891927
347,0.04711193,-0.33194163,-0.2120102,1.1118768,-0.18686442
348,-0.32004297,-0.1277708,-0.05033074,-1.0181887,0.08058271
349,0.30492464,-0.408539,-0.61445093,1.3142165,-0.6148956
350,-0.20608893,0.040147677,-0.114742264,-1.2150667,0.6331044
351,0.2806061,-0.40731296,-0.6288908,1.2619516,-0.6516347
352,-0.24354292,-0.06389259,-0.02005671,-1.1568123,0.2887192
353,-0.141476,0.5634796,-0.19837871,-0.63828695,1.6741474
354,-0.12281584,-0.3335914,-0.13560177,0.80276084,0.06398603
355,0.2554718,0.49840742,0.34606567,-1.2058855,-0.38107055
356,-0.09644492,-0.089210644,-0.0012272075,-0.21918973,-0.97078276
357,0.31160656,0.20682734,0.226345,-0.08560789,-1.1198786
358,-0.3165786,-0.3675242,-0.41773918,0.12992336,-0.7413249
359,-0.57024693,-0.4624079,-0.35788012,-0.44970995,0.091297746
360,0.091819175,-0.074681655,0.10433391,1.2567722,0.1332108
361,-0.46183473,-0.31605968,-0.22692034,-0.52307206,0.5411829
362,-0.3084878,-0.17469214,-0.049752835,-0.59912103,-0.60860455
363,0.24961422,0.47763264,0.4075165,-1.1044528,-0.6075936
364,-0.18117888,-0.15708332,-0.077646926,-0.24218729,-0.9023992
365,0.04009626,-0.15148348,0.06750406,1.138923,0.08825052
366,-0.55193925,-0.40193346,-0.29568598,-0.492553,-0.27954435
367,0.08368576,0.012532495,0.08448098,-0.07752448,-1.0962682
368,0.10829438,-0.3850901,-0.653514,0.911117,-0.8395861
369,-0.2004471,0.3554622,0.00041844696,-0.27132013,1.1973126
370,-0.44287014,-0.4288142,-0.268431,0.08531837,0.25322223
371,0.027522558,0.24391584,0.19583797,-1.1982055,-0.10715002
372,-0.27073905,-0.042812172,-0.093538895,-1.1295722,0.61677545
373,-0.37430528,-0.41087386,-0.44820163,0.10873278,-0.56166804
374,-0.22747645,-0.033858273,-0.045586593,-1.2109618,0.4227857
375,-0.17489913,0.03192292,0.25973815,0.7333689,0.37717062
376,0.3356758,-0.3882828,-0.5425222,1.4100955,-0.50445354
377,-0.41608062,-0.2474488,-0.19815737,-0.30145422,0.65984416
378,-0.19182351,0.24650209,0.3511266,0.54977506,0.6019465
379,-0.13583153,0.55927634,0.22410944,0.08984481,1.1175674
380,-0.38210467,-0.19207755,-0.10963871,-0.9438354,0.07829784
381,-0.4667579,-0.2886503,-0.15076292,-0.6823125,-0.35348544
382,-0.32375395,0.00084994547,-0.14675972,-0.43671948,0.9515541
383,-0.30469346,-0.30287245,-0.07414415,0.38678557,0.36187625
384,0.011494603,-0.08961482,-0.103324555,0.079940215,-1.1334282
385,-0.11200041,0.627672,0.6489645,1.0317858,0.7417622
386,-0.2242979,-0.21616554,0.04441636,0.57613784,0.29824707
387,0.23139979,-0.4068161,-0.6189148,1.1890192,-0.6632437
388,0.30659923,0.53145456,0.4573303,-1.0257723,-0.80269367
389,0.49345997,0.6959662,0.50540864,-0.7972568,-1.1172351
390,-0.54820454,-0.41730118,-0.33845165,-0.3907399,-0.31089252
391,-0.14309442,0.5350979,0.2121498,0.069215074,1.109017
392,0.04843059,0.7814682,0.6713129,1.4228563,0.8208598
393,-0.45882016,-0.40611064,-0.2218823,0.0032213908,0.39849335
394,-0.18870905,-0.41573283,-0.533795,0.5066419,-0.62949336
395,0.373481,0.54136586,0.45748726,-0.76011425,-1.0166334
396,-0.32892877,-0.13411717,0.003986284,-0.848221,-0.34377748
397,-0.26648125,-0.088202566,-0.04600449,-1.1589262,0.3667274
398,-0.49566257,-0.40230325,-0.25478384,-0.2106098,0.42414975
399,0.35491446,0.60520947,0.47481865,-1.089265,-0.7892201
400,-0.5606615,-0.41057348,-0.29537204,-0.5624835,-0.15502384
401,-0.23671164,-0.068337634,0.1616736,0.5745663,0.40481532
